node,pol,inc,abor,homo,male0fem1
18420,3,1,2,1,0
15776,3,1,2,3,0
15071,3,1,2,1,0
78911,1,1,2,1,1
25323,1,1,2,2,1
14106,2,1,2,1,0
68533,1,2,3,1,0
49294,1,1,3,3,0
15548,3,1,3,1,1
82060,1,1,3,2,0
23040,3,1,2,1,1
20905,2,1,2,1,1
71518,1,1,2,3,0
35227,3,1,3,3,0
31583,1,1,2,3,1
44167,3,3,1,1,1
69065,1,1,2,3,0
73175,1,2,2,3,0
23642,1,2,2,3,1
45945,1,1,3,3,0
49597,3,1,2,1,0
18394,3,1,3,1,1
11692,2,1,2,1,0
85596,1,1,3,3,1
68494,1,2,3,2,1
44956,2,2,2,3,1
66052,3,1,2,1,1
51722,2,3,3,3,1
26999,3,1,2,2,0
25544,1,1,3,3,1
13882,3,1,2,2,0
46654,3,2,2,1,1
16313,1,1,3,3,0
44947,1,1,2,3,0
66404,1,2,3,3,0
78966,1,2,3,1,0
88175,2,3,3,2,1
19066,1,1,2,3,1
71187,3,1,1,1,0
32100,3,2,2,2,0
52067,2,2,2,1,0
80058,2,2,2,1,0
59367,3,3,1,1,1
77023,2,2,2,1,1
18344,2,3,2,2,1
86727,1,1,3,3,0
63188,3,1,3,1,0
84841,1,2,3,3,1
50869,1,2,3,3,0
45000,1,1,2,2,1
88133,3,1,2,1,1
86237,3,1,2,1,0
39122,3,1,3,1,1
44520,3,2,1,1,1
78638,1,1,1,3,1
51552,1,3,1,1,0
22617,3,1,3,1,1
13116,2,2,1,1,0
40629,1,1,2,1,0
40997,3,1,2,3,0
28831,1,2,2,3,0
77824,1,1,2,3,0
24760,1,1,3,3,0
10060,2,2,2,3,1
46160,1,1,3,3,1
17353,1,2,2,1,1
14188,3,2,1,1,1
29914,2,1,2,1,0
77291,3,1,2,1,1
36006,1,1,3,3,0
23144,1,1,2,3,0
52441,1,1,3,3,1
26425,2,1,3,3,0
32899,1,2,2,3,0
71627,1,2,3,2,1
32174,3,2,2,3,0
45292,3,3,1,1,1
51597,1,3,3,3,0
48187,3,1,2,1,1
86009,1,2,2,2,0
30952,3,1,1,1,1
34250,1,1,2,3,0
45539,1,2,3,3,0
46021,2,1,2,1,0
66754,2,1,1,1,0
24543,1,1,2,3,1
39701,1,2,3,3,0
73303,1,1,1,3,0
55464,2,3,3,1,0
70889,3,2,2,1,1
89827,3,2,1,1,0
26127,1,3,2,2,1
85970,1,3,3,1,1
75178,1,1,2,3,1
10841,2,2,3,3,1
74916,1,1,3,1,1
38893,1,3,2,3,1
71700,3,2,3,3,1
38927,1,1,1,1,1
53275,3,2,1,3,0
84625,2,1,1,3,1
22931,1,1,3,3,1
58909,3,1,3,3,1
46771,1,3,3,3,0
34853,1,1,1,1,0
24853,2,1,2,1,1
72746,1,1,1,1,0
71782,1,1,2,1,0
50181,3,2,2,3,0
62560,1,1,2,3,1
25947,2,1,2,1,0
19844,3,1,2,1,0
30076,3,1,3,2,0
86610,2,1,2,3,1
13799,1,1,3,3,1
68633,2,1,3,3,1
63063,2,2,2,1,0
52635,3,1,2,1,0
31372,1,1,2,1,0
51675,1,1,3,3,1
48990,1,1,2,2,0
22745,2,3,1,1,1
84472,2,1,2,1,0
79877,3,3,1,1,0
82282,3,3,2,1,1
11023,2,2,2,1,1
16495,3,1,2,1,1
39783,1,1,3,2,1
36143,1,1,3,3,0
50947,1,3,2,1,1
53884,1,1,2,3,0
37617,1,1,3,3,1
86352,2,1,1,2,0
21350,3,1,1,1,1
50709,3,1,1,1,1
62555,3,2,2,1,0
10281,1,1,2,3,0
75261,3,1,2,1,1
57637,1,2,2,1,0
38823,1,1,3,3,0
84215,3,1,1,1,1
11360,2,1,3,1,0
66245,3,2,2,1,1
52385,1,1,1,1,0
67947,2,1,3,3,0
75468,3,1,2,3,0
76313,3,2,2,1,0
