node1,node2,timestamp,msg1call0
26127,48429,1343793660,1
26127,48429,1343793720,1
86610,82060,1343794320,1
88133,10841,1343794620,1
10841,88133,1343794800,1
88133,10841,1343794800,1
88133,10841,1343794860,1
10841,88133,1343794980,1
86352,82060,1343795100,1
71627,75261,1343795940,1
75261,71627,1343795940,1
75261,71627,1343796000,1
71627,75261,1343796120,1
71627,75261,1343796180,1
88133,10841,1343796300,1
10841,88133,1343796300,1
10841,88133,1343796420,1
75261,71627,1343796420,1
75261,71627,1343796600,1
71627,75261,1343796660,1
86610,82060,1343797380,0
86610,82060,1343797380,1
82060,86610,1343798160,1
86610,82060,1343798220,1
82060,86610,1343798520,1
86610,82060,1343798580,1
82060,86610,1343799660,0
82060,86610,1343799720,0
13799,45539,1343802000,1
45539,13799,1343802600,1
45539,13799,1343802660,1
26127,48429,1343802960,1
26127,48429,1343803020,1
13799,45539,1343803080,1
45539,13799,1343803140,1
13799,45539,1343803200,1
45539,13799,1343803560,1
13799,45539,1343803620,1
45539,13799,1343803980,1
13799,45539,1343804220,1
13799,45539,1343804280,1
13799,45539,1343804340,1
13799,45539,1343804400,1
13799,45539,1343804520,1
13799,45539,1343804580,1
45539,13799,1343804820,1
13799,45539,1343804880,1
45539,13799,1343805600,1
45539,13799,1343805660,1
13799,45539,1343805840,1
86610,82060,1343805840,1
85596,10060,1343806320,1
85596,10060,1343806380,1
13799,45539,1343806620,1
13799,45539,1343806680,1
22745,45000,1343807580,1
45539,13799,1343807580,1
45000,22745,1343807700,1
22745,45000,1343807760,1
45000,22745,1343807940,1
45539,13799,1343808180,1
48429,26127,1343808180,1
45539,13799,1343808240,1
48429,26127,1343808240,1
45539,13799,1343808240,1
82060,86610,1343808360,1
22745,45000,1343808360,1
22745,45000,1343808420,1
45000,22745,1343808420,1
26127,48429,1343808420,1
26127,48429,1343808480,1
45000,22745,1343808480,1
22745,45000,1343808540,1
45000,22745,1343808540,1
22745,45000,1343808540,1
45000,22745,1343808540,1
45000,22745,1343808600,1
45000,22745,1343808660,1
26127,48429,1343808660,1
26127,48429,1343808720,1
22745,45000,1343808720,1
48429,26127,1343808780,1
45000,22745,1343808840,1
22745,45000,1343808900,1
26127,48429,1343808900,1
45000,22745,1343808900,1
26127,48429,1343808900,1
45000,22745,1343808960,1
22745,45000,1343809020,1
45000,22745,1343809080,1
22745,45000,1343809140,1
45000,22745,1343809200,1
45000,22745,1343809260,1
22745,45000,1343809260,1
45000,22745,1343809260,1
22745,45000,1343809320,1
45000,22745,1343809440,1
22745,45000,1343809500,1
26127,48429,1343809500,1
26127,48429,1343809560,1
45000,22745,1343809620,1
22745,45000,1343809680,1
45000,22745,1343809800,1
45000,22745,1343809860,1
68494,99367,1343809860,1
22745,45000,1343809920,1
45000,22745,1343809980,1
22745,45000,1343810040,1
45000,22745,1343810100,1
22745,45000,1343810160,1
95994,15776,1343810160,1
45000,22745,1343810340,1
99367,68494,1343810400,1
15776,95994,1343810880,1
22745,45000,1343811000,1
45000,22745,1343811060,1
22745,45000,1343811120,1
45000,22745,1343811180,1
45000,22745,1343811240,1
22745,45000,1343811300,1
45000,22745,1343811600,1
22745,45000,1343811660,1
45000,22745,1343811720,1
45000,22745,1343811780,1
22745,45000,1343811840,1
45000,22745,1343811960,1
45000,22745,1343812020,1
22745,45000,1343812080,1
45000,22745,1343812140,1
22745,45000,1343812200,1
45000,22745,1343812260,1
22745,45000,1343812320,1
45000,22745,1343812380,1
45000,22745,1343812440,1
22745,45000,1343812500,1
45000,22745,1343812680,1
22745,45000,1343812740,1
45000,22745,1343812860,1
22745,45000,1343812920,1
45000,22745,1343813100,1
22745,45000,1343813160,1
45000,22745,1343813400,1
45000,22745,1343813460,1
22745,45000,1343813520,1
22745,45000,1343813580,1
45000,22745,1343814060,1
16495,52923,1343814240,1
25544,15776,1343814720,1
26127,48429,1343815140,1
26127,48429,1343815200,1
48429,26127,1343815320,1
26127,48429,1343815500,1
48429,26127,1343815560,1
48429,26127,1343815620,1
26127,48429,1343816100,1
11360,10841,1343816700,1
10841,11360,1343816820,1
11360,10841,1343816880,1
10841,11360,1343816880,1
11360,10841,1343816940,1
11360,10841,1343817000,1
10841,11360,1343817180,1
11360,10841,1343817240,1
48429,26127,1343817480,1
48429,26127,1343817540,1
11360,10841,1343817540,1
11360,10841,1343817600,1
10841,11360,1343817660,1
26127,48429,1343818380,1
48429,26127,1343818560,1
26127,48429,1343818680,1
48429,26127,1343818920,1
26127,48429,1343819160,1
48429,26127,1343819700,1
48429,26127,1343819760,1
26127,48429,1343819880,1
48429,26127,1343820360,1
26127,48429,1343820360,1
95994,15776,1343835900,1
25544,15776,1343835900,1
15776,95994,1343794260,1
95994,15776,1343840460,1
86610,82060,1343841000,1
82060,86610,1343841180,1
86610,82060,1343841900,1
86610,82060,1343841960,1
82060,86610,1343841960,1
86009,94904,1343845320,1
10060,85596,1343847780,1
94904,86009,1343848920,1
86009,94904,1343850240,1
86610,82060,1343850960,1
86610,82060,1343851020,1
82060,86610,1343851800,1
82060,86352,1343851800,1
82060,86610,1343851860,1
82060,86352,1343851860,1
86610,82060,1343852100,1
86610,82060,1343852160,1
82060,86610,1343852160,1
82060,86610,1343854020,1
82060,86610,1343854020,0
86610,82060,1343854080,0
86610,82060,1343854560,0
68494,35227,1343856900,1
35227,68494,1343856960,1
68494,35227,1343857080,1
35227,68494,1343857140,1
68494,35227,1343857140,1
68494,35227,1343857200,1
68494,99367,1343857260,1
35227,68494,1343857260,1
35227,68494,1343857320,1
35227,68494,1343857380,1
75261,71627,1343857740,1
71627,75261,1343858220,1
71627,75261,1343858280,1
75261,71627,1343858340,1
71627,75261,1343858460,1
75261,71627,1343858520,1
71627,75261,1343858640,1
71627,75261,1343858760,1
75261,71627,1343858820,1
71627,75261,1343861100,1
75261,71627,1343861280,1
71627,75261,1343861400,1
71627,75261,1343861460,1
71627,75261,1343862780,1
75261,71627,1343862780,1
15776,95994,1343862840,1
71627,75261,1343862840,1
71627,75261,1343862900,1
37617,85596,1343865480,1
85596,37617,1343865600,1
82060,86610,1343867160,1
82060,86610,1343867220,1
95994,15776,1343868120,1
75261,71627,1343868180,1
75261,71627,1343868240,1
71627,75261,1343868480,1
52923,16495,1343868720,1
75261,71627,1343868960,1
88133,86352,1343870100,1
15776,95994,1343870520,1
15776,25544,1343870760,1
15776,25544,1343870820,1
95994,15776,1343870880,1
71627,75261,1343872440,1
71627,75261,1343872500,1
75261,71627,1343872740,1
15776,95994,1343874180,1
68494,99367,1343877120,1
68494,99367,1343877180,1
99367,68494,1343879160,1
71627,75261,1343879220,1
71627,75261,1343879280,1
75261,71627,1343879280,1
71627,75261,1343879340,1
71627,75261,1343879400,1
68494,99367,1343879400,1
99367,68494,1343879520,1
75261,71627,1343879520,1
25544,15776,1343880300,1
82060,86610,1343880840,1
86610,82060,1343881260,1
82060,86610,1343881320,1
99367,68494,1343881320,1
68494,99367,1343881320,1
99367,68494,1343881380,1
99367,68494,1343881500,1
68494,99367,1343881560,1
99367,68494,1343881560,1
68494,99367,1343881620,1
99367,68494,1343881620,1
68494,99367,1343881980,1
99367,68494,1343882040,1
10841,88133,1343882700,1
88133,10841,1343882700,1
88133,10841,1343882760,1
10841,88133,1343882760,1
86610,82060,1343882880,1
86610,82060,1343882940,1
86610,82060,1343883000,1
86610,82060,1343883120,0
68494,99367,1343885100,1
99367,68494,1343885160,1
68494,99367,1343885280,1
99367,68494,1343885340,1
45539,13799,1343886180,1
13799,45539,1343887620,1
45539,13799,1343887680,1
13799,45539,1343887740,1
45539,13799,1343887860,1
13799,45539,1343887920,1
13799,45539,1343887980,1
13799,45539,1343888160,1
45539,13799,1343888220,1
45539,13799,1343888280,1
13799,45539,1343888460,1
45539,13799,1343888580,1
13799,45539,1343888700,1
13799,45539,1343888760,1
45539,13799,1343888820,1
45539,13799,1343888880,1
13799,45539,1343889000,1
13799,45539,1343889060,1
45539,13799,1343889120,1
13799,45539,1343889180,1
45539,13799,1343889180,1
13799,45539,1343889240,1
45539,13799,1343889300,1
13799,45539,1343889360,1
45539,13799,1343889420,1
13799,45539,1343889900,1
13799,45539,1343889960,1
13799,45539,1343890080,1
45539,13799,1343890140,1
13799,45539,1343890380,1
13799,45539,1343890440,1
13799,45539,1343890500,1
45539,13799,1343890500,1
45539,13799,1343890560,1
13799,45539,1343890680,1
45539,13799,1343890800,1
13799,45539,1343891040,1
13799,45539,1343891100,1
13799,45539,1343891160,1
45539,13799,1343891220,1
13799,45539,1343891460,1
45539,13799,1343891520,1
45539,13799,1343891580,1
13799,45539,1343891820,1
45539,13799,1343892000,1
13799,45539,1343892120,1
45539,13799,1343892240,1
13799,45539,1343892360,1
45539,13799,1343892420,1
45539,13799,1343892480,1
13799,45539,1343892540,1
13799,45539,1343892600,1
26127,48429,1343892600,1
45539,13799,1343892600,1
45539,13799,1343892660,1
13799,45539,1343892720,1
48429,26127,1343892720,1
13799,45539,1343892720,1
48429,26127,1343892720,1
45539,13799,1343892840,1
13799,45539,1343892900,1
26127,48429,1343892900,1
45539,13799,1343893080,1
48429,26127,1343893080,1
48429,26127,1343893140,1
13799,45539,1343893140,1
99367,68494,1343893200,1
45539,13799,1343893260,1
26127,48429,1343893260,1
13799,45539,1343893320,1
48429,26127,1343893320,1
68494,99367,1343893380,1
45539,13799,1343893500,1
13799,45539,1343893500,1
99367,68494,1343893560,1
45539,13799,1343893620,1
13799,45539,1343893620,1
13799,45539,1343893680,1
68494,99367,1343893800,1
26127,48429,1343893860,1
45539,13799,1343893860,1
45539,13799,1343893920,1
13799,45539,1343893920,1
26127,48429,1343893920,1
45539,13799,1343894040,1
48429,26127,1343894040,1
13799,45539,1343894100,1
45539,13799,1343894220,1
13799,45539,1343894340,1
45539,13799,1343894340,1
45539,13799,1343894400,1
13799,45539,1343894460,1
45539,13799,1343894640,1
13799,45539,1343894700,1
45539,13799,1343894760,1
13799,45539,1343894820,1
13799,45539,1343894880,1
45539,13799,1343895000,1
13799,45539,1343895060,1
99367,68494,1343895180,1
45539,13799,1343895180,1
45539,13799,1343895240,1
68494,99367,1343895300,1
44167,44167,1343895420,0
99367,68494,1343895600,1
25544,15776,1343895660,1
68494,99367,1343896140,1
15776,95994,1343896140,1
99367,68494,1343896200,1
95994,15776,1343896920,1
15776,95994,1343898420,1
48429,26127,1343904900,1
26127,48429,1343905020,1
48429,26127,1343905140,1
26127,48429,1343905140,1
26127,48429,1343905620,1
48429,26127,1343905740,1
26127,48429,1343906100,1
48429,26127,1343906220,1
48429,26127,1343906280,1
26127,48429,1343906400,1
48429,26127,1343906580,1
26127,48429,1343906640,1
48429,26127,1343906760,1
26127,48429,1343906820,1
48429,26127,1343906880,1
26127,48429,1343907000,1
26127,48429,1343907060,1
48429,26127,1343908920,1
26127,48429,1343909100,1
99367,68494,1343927220,1
16495,52923,1343935320,1
68494,99367,1343935980,1
86610,82060,1343937720,1
37617,85596,1343938560,1
86610,82060,1343939340,0
68494,99367,1343939340,1
82060,86610,1343939340,1
85596,37617,1343939340,1
82060,86610,1343939340,1
86610,82060,1343939400,1
82060,86610,1343940900,1
82060,86610,1343941020,0
82060,86610,1343941260,0
37617,85596,1343941440,1
85596,37617,1343941680,1
37617,85596,1343941680,1
68494,35227,1343944080,1
68494,35227,1343944140,1
35227,68494,1343944200,1
35227,68494,1343944260,1
95994,15776,1343944500,1
52923,16495,1343945400,1
22617,38901,1343946360,1
22617,38901,1343946420,1
16495,52923,1343946660,1
38901,22617,1343947680,1
22617,38901,1343947860,1
22617,38901,1343947920,1
22617,38901,1343947980,1
38901,22617,1343948160,1
22617,38901,1343948340,1
22617,38901,1343948400,1
38901,22617,1343950380,1
80193,74916,1343950560,0
99367,68494,1343952120,1
86610,82060,1343954640,1
86610,82060,1343955780,0
86610,82060,1343956440,1
82060,86610,1343956500,1
15776,95994,1343957100,1
68494,99367,1343957400,1
99367,68494,1343957460,1
68494,99367,1343957580,1
10841,88133,1343958240,1
10841,88133,1343958300,1
88133,10841,1343958300,1
10841,88133,1343958360,1
88133,10841,1343958540,1
10841,88133,1343958660,1
52441,52067,1343959320,1
88133,10841,1343959320,1
88133,10841,1343959380,1
88133,10841,1343959440,1
95994,15776,1343960280,1
26127,48429,1343961780,1
48429,26127,1343961900,1
26127,48429,1343963460,1
48429,26127,1343963520,1
26127,48429,1343963640,1
48429,26127,1343963700,1
15776,95994,1343963700,1
26127,48429,1343963700,1
26127,48429,1343963760,1
48429,26127,1343963760,1
48429,26127,1343963820,1
26127,48429,1343963880,1
15776,95994,1343963940,1
48429,26127,1343964000,1
48429,26127,1343964060,1
26127,48429,1343965020,1
26127,48429,1343965080,1
45539,13799,1343966160,1
82060,86610,1343967120,1
86610,82060,1343967300,1
86610,82060,1343967480,0
85596,37617,1343968200,1
37617,85596,1343968980,1
52441,52067,1343970000,1
95994,15776,1343971920,1
15776,95994,1343972340,1
95994,15776,1343973120,0
13799,45539,1343973900,1
10841,88133,1343974500,1
88133,10841,1343975100,1
45539,13799,1343975940,1
13799,45539,1343976060,1
13799,45539,1343976120,1
45539,13799,1343976240,1
45539,13799,1343976420,1
48429,26127,1343976840,1
13799,45539,1343976900,1
13799,45539,1343976960,1
45539,13799,1343977020,1
26127,48429,1343977080,1
13799,45539,1343977140,1
13799,45539,1343977200,1
45539,13799,1343977200,1
45539,13799,1343977320,1
13799,45539,1343977380,1
48429,26127,1343977380,1
48429,26127,1343977440,1
45539,13799,1343977560,1
13799,45539,1343977620,1
13799,45539,1343977680,1
26127,48429,1343977680,1
45539,13799,1343977860,1
13799,45539,1343978340,1
13799,45539,1343978400,1
45539,13799,1343978520,1
45539,13799,1343978580,1
13799,45539,1343978700,1
13799,45539,1343978760,1
45539,13799,1343978760,1
48429,26127,1343978880,1
13799,45539,1343978940,1
26127,48429,1343979420,1
45539,13799,1343979780,1
13799,45539,1343979900,1
